Open,High,Low,Close,Volume,TradingDate
26653.0,26891.0,26337.0,26416.0,1202900,2021-04-05
26258.0,26416.0,26021.0,26139.0,1453000,2021-04-06
26100.0,26100.0,25902.0,26100.0,948200,2021-04-07
26100.0,26495.0,26100.0,26337.0,851000,2021-04-08
26337.0,26416.0,26218.0,26218.0,710600,2021-04-09
25546.0,26021.0,25546.0,25942.0,2002500,2021-04-12
25862.0,25942.0,25309.0,25348.0,1076200,2021-04-13
25032.0,25309.0,24913.0,25309.0,884100,2021-04-14
25309.0,25388.0,24913.0,24992.0,831400,2021-04-15
24992.0,25309.0,24083.0,24518.0,1212200,2021-04-16
24676.0,24874.0,23964.0,24478.0,1165100,2021-04-19
24478.0,24874.0,24320.0,24676.0,796300,2021-04-20
24676.0,24676.0,23885.0,23885.0,1080800,2021-04-22
23727.0,23885.0,23411.0,23885.0,860800,2021-04-23
23885.0,23885.0,22224.0,22778.0,1106400,2021-04-26
22778.0,22857.0,22224.0,22738.0,790800,2021-04-27
22738.0,22936.0,22541.0,22778.0,528100,2021-04-28
22778.0,23094.0,22778.0,22936.0,466300,2021-04-29
21354.0,22936.0,21354.0,21592.0,1477900,2021-05-04
21908.0,22145.0,21908.0,22145.0,693200,2021-05-05
22145.0,22541.0,21987.0,21987.0,637400,2021-05-06
21987.0,21987.0,21354.0,21512.0,1021800,2021-05-07
20959.0,21275.0,20959.0,21038.0,1107600,2021-05-10
21354.0,22066.0,21354.0,21829.0,768900,2021-05-11
21829.0,22145.0,21750.0,22066.0,432100,2021-05-12
21789.0,22106.0,21354.0,21592.0,627100,2021-05-13
21592.0,21750.0,21433.0,21592.0,925400,2021-05-14
21750.0,21908.0,21512.0,21631.0,468800,2021-05-17
21671.0,21671.0,21394.0,21433.0,555900,2021-05-18
21829.0,21829.0,21077.0,21117.0,698600,2021-05-19
20959.0,21354.0,20405.0,20484.0,1289500,2021-05-20
20168.0,21315.0,20168.0,21157.0,1103900,2021-05-21
21157.0,21750.0,21157.0,21315.0,631600,2021-05-24
21315.0,21354.0,20998.0,21117.0,579300,2021-05-25
21117.0,21275.0,20722.0,20959.0,625600,2021-05-26
20880.0,20959.0,20563.0,20642.0,572900,2021-05-27
20642.0,20880.0,20603.0,20722.0,493800,2021-05-28
